model,brand,official_product_url,checked_on,body_length_in,body_width_in,body_height_in,belt_length_in,belt_width_in,minimum_speed_mph,maximum_speed_mph,published_capacity_lb,machine_weight_lb,folds,folded_length_in,folded_width_in,folded_height_in,controls,caveat,comparison_url
WalkingPad Z1,WalkingPad,https://www.walkingpad.com/products/walkingpad-z1-under-desk-treadmill,2026-09-03,56.1,22,4.1,47.6,15.7,1,4,242,51,true,31.8,22,5.4,KS Fit app + remote,"Outside height is not a labeled standing-surface height.",https://workchoose.com/walkingpad-z1-vs-c2
WalkingPad C2,WalkingPad,https://www.walkingpad.com/products/walkingpad-c2-foldable-walking-machine,2026-09-03,56.9,20.4,4.9,47.2,15.7,1,4,220,55,true,32.5,20.4,5.4,KS Fit app + FootSense + remote,"Verify accessory compatibility by exact model.",https://workchoose.com/walkingpad-z1-vs-c2
WalkingPad R3 — 330-lb selection,WalkingPad,https://www.walkingpad.com/products/walkingpad-r3-foldable-under-desk-treadmill,2026-09-03,57.8,26.5,6.1,47.2,17.3,1,4,330,66.3,true,33.5,26.5,7.5,Remote,"The live page also lists a separate 265-lb choice; confirm the selected cart variant.",
WalkingPad A1 Pro — 300-lb selection,WalkingPad,https://www.walkingpad.com/products/walkingpad-a1-pro-foldable-treadmill,2026-09-03,56.5,21.5,5,47,16.5,0.5,3.75,300,63,true,32.5,21.5,5,App + remote,"The live page also lists a 230-lb choice; confirm the selected cart variant.",https://workchoose.com/walkingpad-a1-pro-vs-p1
WalkingPad P1 Classic,WalkingPad,https://www.walkingpad.com/products/walkingpad-p1-foldable-treadmill,2026-09-03,56.5,21.5,5,47,16.5,0.3,3.75,220,62,true,32.5,21.5,5,KS Fit app + FootSense + remote,"The exact US product page lists 0.3–3.75 mph; WalkingPad's broader comparison page rounds the range differently.",https://workchoose.com/walkingpad-a1-pro-vs-p1
WalkingPad H1 Plus,WalkingPad,https://www.walkingpad.com/products/h1-plus-auto-incline-under-desk-treadmill,2026-09-03,50,21,6.1,39.4,15.4,0.5,4,243,51,false,,,,Remote + nine automatic incline levels,"Outside height is not a deck-height measurement at every incline setting.",
UREVO SpaceWalk 3S,UREVO,https://www.urevo.com/products/spacewalk-3s-treadmill,2026-09-03,51.6,22.1,6.5,42.5,16.54,0.6,4,265,56.65,false,,,,UREVO app + remote + nine automatic incline levels,"The manual warns against stand-up or side storage; outside height is not a labeled deck height.",https://workchoose.com/urevo-spacewalk-3s-vs-5l
UREVO SpaceWalk 5L — 300-lb QSG limit,UREVO,https://www.urevo.com/products/urevo-spacewalk-5l-smart-walking-pad,2026-09-03,48.8,20.3,6.1,39.4,15.8,0.6,4,300,50.7,false,,,,UREVO app + remote/LED SmartControl + nine incline levels,"The product page says 400 lb while the official QSG says 300 lb; this row uses the lower QSG limit.",https://workchoose.com/urevo-spacewalk-3s-vs-5l
UREVO SpaceWalk E1L,UREVO,https://www.urevo.com/products/urevo-spacewalk-e1l-treadmill,2026-09-03,42.1,19.3,4.2,35.43,15,0.6,4,265,36.59,false,,,,Remote + UREVO app features listed,"Non-folding model with the shortest published belt in this dataset.",https://workchoose.com/urevo-e1l-vs-e1l-pro
UREVO SpaceWalk E1L Pro,UREVO,https://www.urevo.com/products/urevo-spacewalk-e1l-pro-smart-walking-pad,2026-09-03,42.9,19.3,4.5,36.2,15.2,0.6,4,350,35.5,false,,,,Remote + UREVO app features listed,"Confirm the exact E1L Pro name and published capacity at checkout.",https://workchoose.com/urevo-e1l-vs-e1l-pro
WalkingPad R2 2IN1,WalkingPad,https://www.walkingpad.com/products/walkingpad-r2-foldable-treadmill,2026-09-03,57,28,40.5,47,17,0.5,7.5,240,79,true,39,28,6,KS Fit app + FootSense + remote,"Technical table says 240 lb while a selector says 243 lb; this row uses 240.",https://workchoose.com/walkingpad-r2-vs-x21
WalkingPad X21 Foldable Treadmill,WalkingPad,https://www.walkingpad.com/products/walkingpad-x21-foldable-treadmill,2026-09-03,55.8,27.9,41.4,47.6,18.1,1,7.5,240,84,true,39.6,27.9,8.8,KS Fit app + SpeedDial; no remote listed,"Technical table says 81 lb while the FAQ says 84 lb; this move-weight row uses 84.",https://workchoose.com/walkingpad-x21-vs-x25
WalkingPad X25 Foldable Treadmill,WalkingPad,https://www.walkingpad.com/products/walkingpad-x25-treadmill,2026-09-03,60.8,30.4,40.3,51.9,19.6,1,10,300,104,true,10.1,30.4,40.3,KS Fit app + SpeedDial; no remote listed,"X25+ is a separate side-rail option; preserve the published folded orientation.",https://workchoose.com/walkingpad-x21-vs-x25
UREVO Strol 2E,UREVO,https://www.urevo.com/products/strol-2e-treadmill,2026-09-03,48,22.6,38.9,40.2,15,0.6,6.2,265,47.2,true,51.2,22.6,4.6,LED SmartControl remote + handlebar controls,"Body height is not deck height; measure actual belt-to-keyboard clearance.",https://workchoose.com/urevo-strol-2e-pro-vs-2e
UREVO Strol 2E Pro,UREVO,https://www.urevo.com/products/urevo-strol-2e-pro-smart-treadmill,2026-09-03,42.5,21.9,38.6,36.2,15.2,0.6,6.2,300,43.6,true,,,,Remote + handrail controls + dual display,"Product page says both 43.4 and 43.6 lb; this row uses 43.6. Folded dimensions are unpublished.",https://workchoose.com/urevo-strol-2e-pro-vs-2e
UREVO Strol 2S Pro,UREVO,https://www.urevo.com/products/urevo-strol-2s-pro-treadmill,2026-09-03,50.79,25.39,40.94,42.52,16.54,0.6,7.6,265,74.51,true,54.72,25.39,6.69,Remote + handrail controls + dual display,"UREVO also rounds the belt to 42.5 × 16.5 inches elsewhere on the page.",https://workchoose.com/urevo-strol-2e-pro-vs-2s-pro
UREVO CyberPad for Home,UREVO,https://www.urevo.com/products/urevo-cyberpad-for-home-treadmill,2026-09-03,47.6,23.6,8.7,43.3,16.5,0.6,4,264,70.6,false,,,,LED SmartControl remote + UREVO app,"US page says 350 lb while the manual says 264 lb; this row uses 264.",https://workchoose.com/urevo-cyberpad-home-vs-office
UREVO CyberPad for Office,UREVO,https://www.urevo.com/products/urevo-cyberpad-for-office-smart-treadmill,2026-09-03,42.9,22.8,6.3,39.4,16.5,0.6,4,300,63.1,false,,,,LED SmartControl remote + UREVO SmartCoach app,"US page says 400 lb while the linked EU-marked manual says 300 lb; this row uses 300.",https://workchoose.com/urevo-cyberpad-home-vs-office
UREVO Foldi 3S,UREVO,https://www.urevo.com/products/urevo-foldi-3s-treadmill,2026-09-03,51.6,25.6,47.1,42.5,16.5,0.6,7.6,265,87.5,true,51.6,25.6,6.5,Integrated console + quick-access workstation controls,"No separate remote is listed; floor-to-belt and floor-to-workstation ranges are unpublished.",https://workchoose.com/urevo-foldi-3s-vs-strol-2s-pro
